Batman (Bruce Wayne)
Superman (Clark Kent)
Green Lantern (Hal Jordan)
Richard Grayson
Timothy Drake
Flash (Barry Allen)
GenderTest
Alan Scott
Barbara Gordon
Carter Hall
Kyle Rayner
Roy Harper
Kara Zor-L (Earth-Two)
Ted Grant
Kon-El
Joker
Rex Mason
Aztar
Theodore Kord
Kent Nelson
Rachel Roth
Helena Bertinelli
Wesley Dodds
Nathaniel Adam
Ronald Raymond
Red Tornado
Albert Pratt
Charles McNider
Theodore Knight
Jefferson Pierce
Slade Wilson
Phantom Stranger
Beatriz da Costa
William Batson
Jennifer-Lynn Hayden
Renee Montoya
Courtney Whitmore
Kendra Saunders
Michael Holt
Kara Zor-El
Rex Tyler
Pamela Isley
Pieter Cross
Jonathan L. Thunder
Mari McCabe
Scott Free
Boston Brand
John Zatara
Tatsu Yamashiro
Lawrence Trainor
Albert Rothstein
Brion Markov
Sanderson Hawkins
Jonathan Chambers
Cassandra Cain
Jason Todd
Jean-Paul Valley
Joseph Wilson
Bernhard Baker
Sylvester Pemberton
Floyd Lawton
George Harkness
Leonard Snart
Shiera Sanders
Damian Wayne (Prime Earth)
Big Barda
James Corrigan
Yz
Stephanie Brown
Raymond Terrill
Kimiyo Hoshi
Jack Ryder
Justin Arthur
Max Mercury
Thomas Haukins
Talia al Ghul
Patrick Dugan
Daniel Cassidy
Gabrielle Doe
Henry Hall
Connor Hawke
Cyrus Gold
Robert Crane
Mary Batson
Rita Farr
Jason Rusch
Hector Hall
Mercury
Jaime Reyes
Platinum
Daniel Leong
Uncle Sam
Metron
Iron
Lead
Hartley Rathaway
Rose Wilson
Charles Taine (Pre-Zero Hour)
Bane
Salakk
Tin
Eve Eden
Benjamin Turner
Mark Mardon
Teth-Adam
Terrence Sloane
Gold
Victor Fries
Steven Dayton
Lee Travis
Martin Stein
Solis
Unknown Soldier I
Giovanni Giuseppe
Cynthia Reynolds
Rory Regan
Eclipso
Dinah Drake
Robert Langstrom
Charles Victor Szasz
Richard Swift
Frederick Freeman
Katar Hol
Richard Occult
Dawn Granger
Inza Cramer
Linda Danvers
Antonia Monetti
Khaji Da
Elizabeth Lawrence
Crispus Allen
Evan McCulloch
Holly Robinson
John Sargent
Edward Bloomberg
Tara Markov (Team Titans)
Dmitri Pushkin
June Moone
Mia Dearden
Krypto
Donald Richards
Leonid Kovar
Thomas Blake
Lilith Clay
Thomas Tresser
William Polk
Jervis Tetch
Enya Wazzo
Werner Vertigo
Zinda Blake
Jade Nguyen
Rip Hunter
Wing How
Vril Dox I
Grace Choi
Lawrence Jordan
Katherine Spencer
Stealth
Lorraine Reilly
